lambda 4.05748 7.90785 11.8147
0.0348259 0.00671168 -0.00910816 0.0107139
0.0696517 0.0136241 -0.0184462 0.0216474
0.104478 0.0207068 -0.0279286 0.0326477
0.139303 0.0279282 -0.0374677 0.0435597
0.174129 0.035256 -0.0469746 0.0542277
0.208955 0.0426572 -0.0563599 0.0644984
0.243781 0.0500983 -0.0655347 0.0742227
0.278607 0.0575457 -0.0744117 0.083258
0.313433 0.0649658 -0.082906 0.0914706
0.348259 0.0723254 -0.0909359 0.0987372
0.383085 0.0795916 -0.0984236 0.104947
0.41791 0.0867323 -0.105297 0.110005
0.452736 0.0937162 -0.111487 0.113828
0.487562 0.100513 -0.116935 0.116354
0.522388 0.107095 -0.121587 0.117535
0.557214 0.113433 -0.125394 0.117344
0.59204 0.119503 -0.128319 0.115772
0.626866 0.125281 -0.130331 0.112826
0.661692 0.130744 -0.131407 0.108536
0.696517 0.135873 -0.131533 0.102947
0.731343 0.140649 -0.130704 0.0961231
0.766169 0.145058 -0.128923 0.0881433
0.800995 0.149086 -0.126202 0.0791028
0.835821 0.152722 -0.122559 0.0691101
0.870647 0.155958 -0.118023 0.058286
0.905473 0.158787 -0.112628 0.0467614
0.940299 0.161205 -0.106415 0.0346759
0.975124 0.16321 -0.0994328 0.0221754
1.00995 0.164803 -0.0917355 0.00941035
1.04478 0.165988 -0.083382 -0.00346664
1.0796 0.166767 -0.074436 -0.0163026
1.11443 0.16715 -0.064965 -0.0289462
1.14925 0.167143 -0.0550394 -0.0412503
1.18408 0.166758 -0.0447321 -0.0530728
1.21891 0.166007 -0.0341178 -0.0642794
1.25373 0.164903 -0.0232716 -0.0747447
1.28856 0.163462 -0.0122691 -0.0843538
1.32338 0.161699 -0.00118523 -0.0930034
1.35821 0.159632 0.00990643 -0.100603
1.39303 0.157279 0.0209341 -0.107076
1.42786 0.154659 0.0318285 -0.11236
1.46269 0.151792 0.0425233 -0.116407
1.49751 0.148698 0.0529559 -0.119185
1.53234 0.145397 0.0630676 -0.120676
1.56716 0.14191 0.0728038 -0.120876
1.60199 0.138256 0.0821151 -0.119798
1.63682 0.134458 0.0909565 -0.117467
